osm_id,osm_type,category,name,lat,lon,bbox_area_m2,tags,cross_track_nm,along_track_nm,within_preferred_corridor
15998594,way,railroad,Iowa Interstate Railroad,41.32644022798003,-95.68716432146408,0.0,"{""electrified"": ""no"", ""gauge"": ""1435"", ""name"": ""Iowa Interstate Railroad"", ""note:old_railway_operator"": ""Mason City and Fort Dodge"", ""old_railway_operator"": ""CGW"", ""operator"": ""Iowa Interstate Railroad"", ""railway"": ""rail"", ""reporting_marks"": ""IAIS"", ""tiger:cfcc"": ""B11:B21"", ""tiger:county"": ""Pottawattamie, IA"", ""tiger:name_base"": ""Iowa Interstate Railroad"", ""usage"": ""branch""}",-5.345062449156237e-08,92.24625136258685,True
171559858,way,railroad,Iowa Interstate Railroad,41.48988946262776,-94.12030950637299,0.0,"{""electrified"": ""no"", ""gauge"": ""1435"", ""name"": ""Iowa Interstate Railroad"", ""old_railway_operator"": ""CRI&P"", ""operator"": ""Iowa Interstate Railroad"", ""passenger_lines"": ""1"", ""railway"": ""rail"", ""reporting_marks"": ""IAIS"", ""tiger:cfcc"": ""B11:B21"", ""tiger:county"": ""Dallas, IA:Madison, IA"", ""tiger:name_base"": ""Iowa Interstate Railroad"", ""tiger:reviewed"": ""no"", ""usage"": ""branch""}",-7.493501831196667e-08,21.01049123630139,True
171559858#2,way,railroad,Iowa Interstate Railroad,41.496687077493775,-94.05020776518334,0.0,"{""electrified"": ""no"", ""gauge"": ""1435"", ""name"": ""Iowa Interstate Railroad"", ""old_railway_operator"": ""CRI&P"", ""operator"": ""Iowa Interstate Railroad"", ""passenger_lines"": ""1"", ""railway"": ""rail"", ""reporting_marks"": ""IAIS"", ""tiger:cfcc"": ""B11:B21"", ""tiger:county"": ""Dallas, IA:Madison, IA"", ""tiger:name_base"": ""Iowa Interstate Railroad"", ""tiger:reviewed"": ""no"", ""usage"": ""branch""}",-8.950915419548034e-08,17.831546264842043,True
193611936,way,railroad,CN Omaha Subdivision,41.30610334210568,-95.8684318485151,0.0,"{""electrified"": ""no"", ""gauge"": ""1435"", ""maxspeed"": ""40 mph"", ""maxspeed:freight"": ""40 mph"", ""name"": ""CN Omaha Subdivision"", ""old_railway_operator"": ""IC"", ""operator"": ""Canadian National Railway"", ""operator:wikidata"": ""Q624798"", ""railway"": ""rail"", ""railway:atc"": ""no"", ""railway:ptc"": ""no"", ""railway:track_class"": ""3"", ""usage"": ""main""}",4.620590610041794e-09,100.51120037203708,True
382742383,way,railroad,Iowa Interstate Railroad,41.40483487541879,-94.96197238361465,0.0,"{""electrified"": ""no"", ""gauge"": ""1435"", ""name"": ""Iowa Interstate Railroad"", ""old_railway_operator"": ""CRI&P"", ""operator"": ""Iowa Interstate Railroad"", ""railway"": ""rail"", ""reporting_marks"": ""IAIS"", ""tiger:cfcc"": ""B11:B21"", ""tiger:county"": ""Adair, IA:Cass, IA:Guthrie, IA:Pottawattamie, IA"", ""tiger:name_base"": ""Iowa Interstate Railroad"", ""usage"": ""branch""}",-1.7143581435609216e-08,59.231367924851085,True
637680665,way,railroad,Iowa Interstate Railroad,41.41722065154608,-94.84322146750353,0.0,"{""electrified"": ""no"", ""gauge"": ""1435"", ""name"": ""Iowa Interstate Railroad"", ""old_railway_operator"": ""CRI&P"", ""operator"": ""Iowa Interstate Railroad"", ""railway"": ""rail"", ""reporting_marks"": ""IAIS"", ""tiger:cfcc"": ""B11:B21"", ""tiger:county"": ""Adair, IA:Cass, IA:Guthrie, IA:Pottawattamie, IA"", ""tiger:name_base"": ""Iowa Interstate Railroad"", ""tiger:reviewed"": ""no"", ""usage"": ""branch""}",-4.997938315728994e-06,53.832627266480415,True
767999385,way,railroad,Bayard Subdivision,41.31805095759145,-95.76226106704286,0.0,"{""electrified"": ""no"", ""embankment"": ""yes"", ""gauge"": ""1435"", ""name"": ""Bayard Subdivision"", ""old_railway_operator"": ""Milwaukee"", ""operator"": ""BNSF Railway"", ""operator:wikidata"": ""Q267122"", ""railway"": ""rail"", ""tiger:cfcc"": ""B11"", ""tiger:county"": ""Pottawattamie, IA"", ""tiger:name_base"": ""Burlington Northern Santa Fe R:Iowa Interstate Railroad"", ""tiger:name_base_1"": ""Burlington Northern Santa Fe R"", ""usage"": ""branch""}",-4.6091895174074866e-07,95.6696853146988,True
1028279674,way,railroad,UP Omaha Subdivision,41.306471875400376,-95.86517038735178,0.0,"{""electrified"": ""no"", ""gauge"": ""1435"", ""maxspeed"": ""40 mph"", ""name"": ""UP Omaha Subdivision"", ""old_railway_operator"": ""C&NW"", ""operator"": ""Union Pacific Railroad"", ""operator:wikidata"": ""Q725793"", ""railway"": ""rail"", ""railway:ptc"": ""yes"", ""railway:track_class"": ""4"", ""source"": ""Union Pacific Council Bluffs Area Timetable"", ""usage"": ""main""}",-2.0741599851626365e-07,100.36244740334143,True
158921729,node,intersection,CR G15 & CR N77,41.460591,-94.509421,0.0,"{""intersecting_ways"": [""CR G15"", ""CR N77""]}",0.5494240819985191,38.594179383739046,False
158948859,node,intersection,CR G15 & IA 25,41.460421,-94.4523981,0.0,"{""intersecting_ways"": [""CR G15"", ""IA 25""]}",0.1982682902317579,36.05255386467769,True
159201680,node,intersection,IA 83 & US 6 & US 6;IA 83,41.4040063,-95.0144488,0.0,"{""intersecting_ways"": [""IA 83"", ""US 6"", ""US 6;IA 83""]}",0.2785691573800089,61.578639602638184,False
159249398,node,intersection,IA 83 & US 6;US 71,41.40382,-94.9456652,0.0,"{""intersecting_ways"": [""IA 83"", ""US 6;US 71""]}",-0.16193517451725517,58.51247927804485,True
159247362,node,intersection,CR N28 & IA 83,41.407727,-94.872388,0.0,"{""intersecting_ways"": [""CR N28"", ""IA 83""]}",-0.38438378501385684,55.211746423450485,False
159216109,node,intersection,US 6;IA 83 & US 6;US 71 & US 71,41.4038755,-94.9841237,0.0,"{""intersecting_ways"": [""US 6;IA 83"", ""US 6;US 71"", ""US 71""]}",0.08116747050166437,60.22728974754503,True
159455179,node,intersection,CR F90 & CR R16,41.517757,-93.945133,0.0,"{""intersecting_ways"": [""CR F90"", ""CR R16""]}",0.6529368593900099,12.984451258534644,False
159451902,node,intersection,CR F90 & CR R22,41.522854,-93.885601,0.0,"{""intersecting_ways"": [""CR F90"", ""CR R22""]}",0.6181392572563122,10.291061097506695,False
160808227,node,intersection,CR G8L & CR L34,41.317525,-95.763674,0.0,"{""intersecting_ways"": [""CR G8L"", ""CR L34""]}",-0.02183124441612492,95.7373624766722,True
923471155,cluster,wind_farm,Wind Farm (120 turbines),41.450647395833336,-94.63476326416666,184575621.05881003,"{""turbine_count"": 120}",0.7133723426451225,44.26352576606953,False
Y43,faa_airport,airport,Anita Muni-Kevin Burke Meml Fld (Y43),41.43991111,-94.77013763,0.0,"{""arpt_id"": ""Y43"", ""city"": ""ANITA"", ""use"": ""PU""}",0.8999830638191377,50.38729595242957,False
AIO,faa_airport,airport,Atlantic Muni (AIO),41.40383333,-95.04875,0.0,"{""arpt_id"": ""AIO"", ""city"": ""ATLANTIC"", ""use"": ""PU""}",0.4833429176488334,63.10977242831551,False
20IA,faa_airport,airport,Hobbes Fld (20IA),41.52226666,-93.80103333,0.0,"{""arpt_id"": ""20IA"", ""city"": ""CUMMING"", ""use"": ""PR""}",0.10564879937517126,6.524115776380394,True
IA01,faa_airport,airport,Ridge (IA01),41.35138166,-95.46639111,0.0,"{""arpt_id"": ""IA01"", ""city"": ""OAKLAND"", ""use"": ""PR""}",0.03405969968160953,82.18197371059313,True
